 
  Elements  in  X-Direction : 100 
  Elements  in Y-Direction   :   20 
  Elements   in Z-Direction : 10 
  Total Elements  : 20000  

  Total Number of Processors  : 10 
 
 Iteration number : 197 ,C Value: 587.171 , CHANGE IS:  0.2 
 Iteration number : 198 ,C Value: 48879.3 , CHANGE IS:  0.2 
 Iteration number : 199 ,C Value: 587.17 , CHANGE IS:  0.2 
 Iteration number : 200 ,C Value: 48879.3 , CHANGE IS:  0.2
 FINAL SOLUTION- X Design VariablesVec Object: 10 MPI processes
  type: mpi
Process [0]
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
0.959494
0.85612
0.743915
0.627399
0.497136
0.374297
0.26503
0.181913
0.128784
0.0985286
0.0831385
0.0756509
0.0727814
0.075687
0.0848086
0.0991966
0.118235
0.120529
1.
0.
0.
0.
0.
0.8442
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.965626
1.
1.
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.783871
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
0.959552
0.885441
0.7817
0.637293
0.288597
0.353428
0.597715
0.286512
0.117306
0.121734
0.128039
0.141913
0.137142
0.123072
0.111608
0.103095
0.0984455
0.0982645
0.102208
0.111134
0.128418
0.150783
0.108411
0.6
1.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.575118
0.909182
0.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.535234
0.
0.
0.768755
0.898208
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.300904
0.8
0.783108
0.8
0.751605
0.61883
0.521568
0.590659
0.20509
0.242306
0.135405
0.117888
0.112875
0.0949395
0.100946
0.0995929
0.0960826
0.0971985
0.0995292
0.101754
0.109363
0.101203
0.119061
0.382775
0.940201
0.521203
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
1.
0.840059
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.71756
0.
0.890866
0.
0.727513
0.737305
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.54116
0.470873
0.
0.501654
0.536565
0.552209
0.599066
0.
0.
0.847977
1.
1.
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.0632281
0.326907
0.687126
0.370204
0.6
0.437727
0.288589
0.176765
0.168243
0.136947
0.128878
0.116461
0.0968767
0.0899945
0.0932977
0.0871053
0.0940095
0.103694
0.104703
0.128266
0.121363
0.789955
0.806484
0.159117
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.553789
0.
0.794966
0.
0.767439
0.
0.
0.
0.733786
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.547285
0.
0.498261
0.565765
0.612017
0.639301
0.
0.
0.
0.
0.
0.
0.849648
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.0395549
0.0793842
0.495392
0.6
0.265191
0.218343
0.210897
0.151909
0.13005
0.120639
0.101649
0.0887933
0.0940664
0.100051
0.0839456
0.0749762
0.0924951
0.120527
0.0983284
0.745348
0.896019
0.388628
0.0950079
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
1.
1.
0.843158
0.
0.
0.
0.
0.
0.
0.
0.789801
0.758786
0.741082
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.514615
0.494641
0.574568
0.63254
0.606649
0.
0.
0.
0.
0.
0.
0.
0.760137
0.
1.
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.152143
0.6
0.507085
0.175286
0.16863
0.165917
0.162211
0.132789
0.111377
0.0972726
0.0740844
0.0528539
0.0497514
0.0554526
0.0489896
0.082822
0.0750874
0.700215
0.808458
0.76675
0.106034
0.0778229
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
1.
1.
1.
0.906511
0.
0.
0.
0.
0.822729
0.766461
0.625642
0.
0.
0.
0.
0.
0.
0.
0.
1.
1.
1.
1.
0.914359
0.
0.
0.
0.
0.
0.540804
0.586905
0.634528
0.659694
0.
0.
0.
0.
0.
0.
0.
0.581523
0.
0.934764
0.773338
0.792765
1.
1.
1.
1.
1.
1.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.493617
0.6
0.183373
0.175134
0.148024
0.145814
0.142961
0.137276
0.120299
0.105062
0.098638
0.0908454
0.0917413
0.082693
0.06285
